"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.408552310E-1,-1.835000038E0,8.360000253E-1,1.371000004E1,1.385749697E1
6.443174620E-1,-1.850000024E0,8.909999728E-1,1.311200047E1,1.327180987E1
6.484272310E-1,-1.881000042E0,9.060000181E-1,1.281299973E1,1.298198595E1
6.534529230E-1,-1.952000022E0,9.309999943E-1,1.220800018E1,1.239807782E1
6.584232310E-1,-2.000000000E0,9.660000205E-1,1.159599972E1,1.180679319E1
6.634398460E-1,-2.055000067E0,9.850000143E-1,1.099800014E1,1.123161865E1
6.686960770E-1,-2.131999969E0,9.819999933E-1,1.047599983E1,1.073574964E1
6.736114620E-1,-2.200000048E0,9.869999886E-1,1.006700039E1,1.035174700E1
6.784302310E-1,-2.217999935E0,1.000000000E0,9.732000351E0,1.003151806E1
6.835090770E-1,-2.174000025E0,9.959999919E-1,9.434000015E0,9.732350609E0
6.884360000E-1,-2.105999947E0,9.720000029E-1,9.203000069E0,9.490797124E0
6.936727690E-1,-2.048000097E0,9.499999881E-1,9.057999611E0,9.335103713E0
6.983821540E-1,-2.005000114E0,9.499999881E-1,8.972999573E0,9.243227075E0
7.034260770E-1,-1.965000033E0,9.549999833E-1,8.911999702E0,9.175891717E0
7.084681540E-1,-1.934999943E0,9.539999962E-1,8.883999825E0,9.142198513E0
7.139413850E-1,-1.919999957E0,9.670000076E-1,8.901000023E0,9.156925808E0
7.188423080E-1,-1.916000009E0,9.860000014E-1,8.951000214E0,9.206718029E0
7.234488460E-1,-1.899000049E0,1.000000000E0,9.034000397E0,9.285438296E0
7.285383850E-1,-1.838000059E0,1.024000049E0,9.123000145E0,9.362475739E0
7.333945390E-1,-1.740000010E0,1.065999985E0,9.175999641E0,9.400155606E0
7.384314620E-1,-1.631999969E0,1.128000021E0,9.173999786E0,9.386057747E0
7.442681540E-1,-1.541000009E0,1.202999949E0,9.100000381E0,9.307625736E0
7.484505390E-1,-1.478999972E0,1.274000049E0,8.984999657E0,9.194603628E0
7.534266920E-1,-1.442999959E0,1.345000029E0,8.869999886E0,9.086703029E0
7.584156920E-1,-1.411999941E0,1.409999967E0,8.769000053E0,8.993175506E0
7.654865390E-1,-1.340999961E0,1.453999996E0,8.704000473E0,8.925918503E0
7.683696150E-1,-1.218999982E0,1.481999993E0,8.640000343E0,8.850530542E0
7.735036920E-1,-1.093999982E0,1.503000021E0,8.531999588E0,8.732173956E0
7.784416920E-1,-1.003999949E0,1.514000058E0,8.430000305E0,8.623521161E0
7.834127690E-1,-9.190000296E-1,1.506000042E0,8.402000427E0,8.585231992E0
7.886593850E-1,-8.019999862E-1,1.496999979E0,8.470000267E0,8.638583069E0
7.934064620E-1,-7.319999933E-1,1.506000042E0,8.527000427E0,8.689855948E0
7.984020770E-1,-6.280000210E-1,1.549000025E0,8.656000137E0,8.815901740E0
8.033893080E-1,-5.920000076E-1,1.595999956E0,8.777999878E0,8.941530167E0
8.083834620E-1,-6.000000238E-1,1.623999953E0,8.892999649E0,9.059956878E0
8.135253850E-1,-6.150000095E-1,1.648000002E0,9.008999825E0,9.179117978E0
8.185126150E-1,-6.269999743E-1,1.699000001E0,9.088000298E0,9.266686537E0
8.234231540E-1,-6.460000277E-1,1.759999990E0,9.095000267E0,9.286223444E0
8.285796920E-1,-6.639999747E-1,1.792999983E0,9.029999733E0,9.230202602E0
8.334335390E-1,-6.830000281E-1,1.799999952E0,8.923999786E0,9.129307808E0
8.383936150E-1,-6.899999976E-1,1.807000041E0,8.824000359E0,9.033511580E0
8.434184620E-1,-6.579999924E-1,1.822999954E0,8.781000137E0,8.992344313E0
8.484844620E-1,-5.860000253E-1,1.853999972E0,8.812999725E0,9.024947428E0
8.534023080E-1,-5.019999743E-1,1.904999971E0,8.862999916E0,9.079305941E0
8.584023080E-1,-5.019999743E-1,1.968999982E0,8.803000450E0,9.034477396E0
8.625126920E-1,-5.019999743E-1,1.968999982E0,8.803000450E0,9.034477396E0
